IP,SLOT,PORT,VLAN,ID_PORT,GPON,VENDOR
172.24.155.4,1,0,3821.925,17775334-125378056,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,1,3821.925,17775334-125378058,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,2,3821.925,17775334-125378059,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,3,3821.925,17775334-125490528,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,4,3821.925,17775334-125490529,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,5,3821.925,17775334-125490530,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,6,3821.925,17775334-125378063,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,7,3821.925,17775334-125378064,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,8,3821.925,17775334-125378067,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,9,3821.925,17775334-125490534,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,10,3821.925,17775334-125378069,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,11,3821.925,17775334-125490535,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,12,3821.925,17775334-125378070,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,13,3821.925,17775334-125490536,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,14,3821.925,17775334-125378071,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,1,15,3821.925,17775334-125490537,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,0,3821.925,17775339-125490563,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,1,3821.925,17775339-125378104,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,2,3821.925,17775339-125490566,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,3,3821.925,17775339-125378108,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,4,3821.925,17775339-125378110,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,5,3821.925,17775339-125378113,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,6,3821.925,17775339-125378117,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,7,3821.925,17775339-125490568,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,8,3821.925,17775339-125378121,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,9,3821.925,17775339-125378122,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,10,3821.925,17775339-125490572,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,11,3821.925,17775339-125378125,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,12,3821.925,17775339-125378126,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,13,3821.925,17775339-125378128,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,14,3821.925,17775339-125490578,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,2,15,3821.925,17775339-125378131,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,0,3821.925,17775342-125378194,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,1,3821.925,17775342-125378195,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,2,3821.925,17775342-125378196,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,3,3821.925,17775342-125378197,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,4,3821.925,17775342-125378198,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,5,3821.925,17775342-125378199,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,6,3821.925,17775342-125378200,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,7,3821.925,17775342-125378201,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,8,3821.925,17775342-125378202,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,9,3821.925,17775342-125378203,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,10,3821.925,17775342-125378204,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,11,3821.925,17775342-125378205,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,12,3821.925,17775342-125378206,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,13,3821.925,17775342-125378207,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,14,3821.925,17775342-125378208,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,3,15,3821.925,17775342-125378209,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,0,3821.925,230403309-1114815019,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,1,3821.925,230403309-1116355511,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,2,3821.925,230403309-1114815020,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,3,3821.925,230403309-1116355512,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,4,3821.925,230403309-1114815021,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,5,3821.925,230403309-1116355513,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,6,3821.925,230403309-1114815022,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,7,3821.925,230403309-1116355514,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,8,3821.925,230403309-1114815023,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,9,3821.925,230403309-1116355515,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,10,3821.925,230403309-1114815024,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,11,3821.925,230403309-1116355516,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,12,3821.925,230403309-1114815025,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,13,3821.925,230403309-1116355517,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,14,3821.925,230403309-1114815026,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,4,15,3821.925,230403309-1116355518,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,0,"3812, 925",714828456-2242407725,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,1,"3812, 925",714828456-2242765698,GPON02-D2-DEP-2,HUAWEI
